,corp_name
379,네오이뮨텍(Reg.S)
380,네오크레마
381,네오티스
382,네오팜
383,네오펙트
384,네온테크
385,네이블
386,네이처셀
387,네추럴FNP
388,네패스
389,네패스아크
390,넥센
391,넥센우
392,넥센타이어
393,넥센타이어1우B
394,넥스턴바이오
395,넥스트BT
396,넥스트사이언스
397,넥스트아이
398,넥스틴
399,넥슨지티
400,넵튠
401,넷게임즈
402,넷마블
403,노드메이슨
404,노랑풍선
405,노루페인트
406,노루페인트우
407,노루홀딩스
408,노루홀딩스우
409,노바렉스
410,노바텍
411,노브메타파마
412,노터스
413,녹십자
414,녹십자랩셀
415,녹십자셀
416,녹십자엠에스
417,녹십자웰빙
418,녹십자홀딩스
419,녹십자홀딩스2우
420,녹원씨엔아이
421,농심
422,농심홀딩스
423,농우바이오
424,누리플랜
425,누리플렉스
426,뉴로스
427,뉴보텍
428,뉴인텍
429,뉴지랩파마
430,뉴트리
431,뉴파워프라즈마
432,뉴프라이드
433,뉴프렉스
434,다나와
435,다날
436,다믈멀티미디어
437,다산네트웍스
438,다스코
439,다우기술
440,다우데이타
441,다원넥스뷰
442,다원시스
443,다이노나
444,다이오진
445,단디바이오
446,대교
447,대교우B
448,대구백화점
449,대덕
450,대덕1우
451,대덕전자
452,대덕전자1우
453,대동
454,대동고려삼
455,대동금속
456,대동기어
457,대동스틸
458,대동전자
459,대륙제관
460,대림B&Co
461,대림제지
462,대림통상
463,대명소노시즌
464,대모
465,대보마그네틱
466,대봉엘에스
467,대상
468,대상우
469,대상홀딩스
470,대상홀딩스우
471,대성미생물
472,대성산업
473,대성에너지
474,대성엘텍
475,대성창투
476,대성파인텍
477,대성홀딩스
478,대신밸런스제7호스팩
479,대신밸런스제8호스팩
480,대신밸런스제9호스팩
481,대신정보통신
482,대신증권
483,대신증권2우B
484,대신증권우
485,대아티아이
486,대양금속
487,대양전기공업
488,대양제지
489,대영포장
490,대우건설
491,대우부품
492,대우조선해양
493,대웅
494,대웅제약
495,대원
496,대원강업
497,대원미디어
498,대원산업
499,대원전선
500,대원전선우
501,대원제약
502,대원화성
503,대유
504,대유에이텍
505,대유에이피
506,대유플러스
507,대정화금
508,대주산업
509,대주이엔티
510,대주전자재료
511,대창
512,대창단조
513,대창솔루션
514,대창스틸
515,대한과학
516,대한광통신
517,대한그린파워
518,대한뉴팜
519,대한방직
520,대한약품
521,대한유화
522,대한전선
523,대한제강
524,대한제당
525,대한제당우
526,대한제분
527,대한항공
528,대한항공우
529,대한해운
530,대한화섬
531,대현
532,대호에이엘
533,대호특수강
534,대호특수강우
535,대화제약
536,더네이쳐홀딩스
537,더블유게임즈
538,더블유에스아이
539,더존비즈온
540,더콘텐츠온
541,덕산네오룩스
542,덕산테코피아
543,덕산하이메탈
544,덕성
545,덕성우
546,덕신하우징
547,덕양산업
548,덕우전자
549,데브시스터즈
550,데이드림엔터
551,데이타솔루션
552,데이터스트림즈
553,덱스터
554,덴티스
555,덴티움
556,도부마스크
557,도이치모터스
558,도화엔지니어링
559,동구바이오제약
560,동국S&C
561,동국산업
562,동국알앤에스
563,동국제강
564,동국제약
565,동남합성
566,동방
567,동방선기
568,동방아그로
569,동부건설
570,동부건설우
571,동서
572,동성제약
573,동성케미컬
574,동성화인텍
575,동신건설
576,동아쏘시오홀딩스
577,동아에스티
578,동아엘텍
579,동아지질
580,동아타이어
581,동아화성
582,동양
583,동양2우B
584,동양3우B
585,동양고속
586,동양생명
587,동양에스텍
588,동양우
589,동양이엔피
590,동양철관
591,동양파일
592,동양피스톤
593,동우팜투테이블
594,동운아나텍
595,동원F&B
596,동원개발
597,동원금속
598,동원산업
599,동원수산
600,동원시스템즈
601,동원시스템즈우
602,동일고무벨트
603,동일금속
604,동일기연
605,동일산업
606,동일제강
607,동일철강
608,동진쎄미켐
609,동화기업
610,동화약품
611,두산
612,두산2우B
613,두산밥캣
614,두산우
615,두산인프라코어
616,두산중공업
617,두산퓨얼셀
